Accursed Jerkin	Darkspire Punisher
Acolyte Boots	Psionic Acolyte
Actor's Cap	Periwinkle
Adaptive Helm	Adaptatron
Additional Deployment Drive	Dread Deployment
Adhesive Aquamitts	Aquamander
Adjudicator's Pendant	Silver Talon Adjudicator
Advanced Targeting Console	LZ-37 Targeting System
Aegis of Ogth	Murmurs From The Void
Aerodynamic Helm	War Bot Bunker
Ageless Scimitar	Ageless Troubadour
Air Shoe	Air Superiority
Airweight Bounders	Cloud Bounder
Alachian Lure	Alachian Angler
Alchemist Gloves	Ashwood Transmuter
Allgain	Power and Pain
Alluring Aegis	Heroic Outlaw
Alluring Pendant	Tantalizing Naiad
Alpaca Poncho	Llamafy
Alpha's Spear	Howling Plains Alpha
Ambush Leather	Snarling Ambusher
Ambush Treads	Ambush Guide
Amulet of Protection	Rhythmic Spiritualist
Amulet of the Ancients	Beseech the Ancients
Amulet of the Cuboid	Soul Cube
Amulet of the Healing Wind	Soothing Breeze
Amulet of the Sun	Sight of the Sun
Amulet of Yazukan	Yazukan
Ancestral Puzzle	Ancestral Ire
Ancient Gloves	Dance of Dusk
Ant Stake	Ants at a Picnic
Anti-Shrapnel Helmet	Samson, Lead Ballistics Engineer
Antimagic Helm	Countermagic
Anvil Strikers	Battlefield Ironsmith
Apex Cowl	Apex Forager
Apprentice Wizard Gloves	Apprentice Trio
Aqua Mask	Lightning Elemental
Arachnid Headwrap	Arachnomancer
Arachnid Wraps	Skitter of the Arachnid
Arc Transistor	Arc Amplifier
Arcanograft Arc	Arcanograft Technician
Archer's Longbow	Command Tower
Arctic Headgear	Arctic Emu
Ardent Chestplate	Ardent Recruiter
Ardent Cudgel	Caribaur Antlerguard
Arena Bracers	Arena Mutt
Armguards of Dread	Rot Sniper
Armor of the Diamond Citadel	Legionnaire of Adamanth
Armor of the Forest	Nerissa
Armor of the High Cleric	Xocoy, High Cleric
Armor of the Hired Horn	Hired Horn Sellsword
Armor of the Inky Depths	The Kraken
Armored Forelegs	Malevolent Mi'go
Arsonist's Sandal	Dream Skarn
Artificer's Mallet	Glendower
Ascended Crown	Holy Ascension
Ascus Axe	Bloom Burster
Ash Filled Fists	Return to Cinder
Ash Hood	Voice of the Ashwood
Ashbringer	From The Ashes
Ashwood Gloves	Ashwood Colossus
Ashwood Mace	Ashwood Smiter
Ashwood Tiara	Ashwood Colossus
Assailant's Boots	Deathmask Assailant
Assassin Sneakers	Monsuun, Shogun of Winda'jin
Augmentation Gloves	Subterranean Augmentor
Augmented Barrier	Subterranean Augmentor
Augur's Pendant	Brightmoon Augur
Auspicious Cowl	Deathless Agent
Auto-Defense Console	Barrier Bot
Autumn Leaf	Constantina
Avenger Platemail	Golden Avenger
Awakener's Bow	Necropolis Sharpshooter
Awakener's Stone	Exemplar of the Awakened
Axe Wielder Gloves	Axe Bot
Ayotochi Footwear	Fortress of Ayotochi
Azure Fang Bow	Webshot Sniper
Backstage Pass	Brosi's Bouncer
Badge of Oberon	Scion of Oberon
Badge of the Bloodsworn	Lazgar's Bloodsworn
Bait Switchers	Alachian Angler
Balance Scaled Sandals	Daarmak
Ball of Sinew	Tongue Breeder
Ballroom Slippers	Her Majesty, Queen Grace
Balthasar's Tears	Dream's End
Bandit Mitts	Daring Freebooter
Bandolier of the Assassin	Ninja Training
Bane of the Demon	Dark Pact Demon
Banner of Blood	Bloodlust
Banner of Gawaine	Crusader of Gawaine
Banner of the Ardent	For the Ardent!
Banner-bearing Handwraps	Rallying Banner
Barbaric Helm	Savage Raider
Barbcharged Battleplate	Sparkyspine
Barbed Cuirass	Pact of Pain
Bark Coat	Aryndel Warden
Barnacle	Hardshell Sealord
Barnacle Bangle	Kraken Guard Seapriest
Basilisk Staff	Blind Basilisk
Bastard Sword of Bokrug	Bastardspawn of Bokrug
Bastard Sword of the Larva	Killarvae
Battery Helm	Energize
Battle Jellies	Critical Jamage
Battleborn Boots	Living Totem
Battleborn Breastplate	Prince Talysen
Battlecage Battleplate	Liberated Berserker
Beagle's Footpads	Evolved Tactics
Bear Gloves	Arctic Grizzly
Bear Idol	Dream Bear
Beastcaller Vest	Wildwood Beastcaller
Beastly Foot-Stompers	Gorilla Pounder
Beckoner	Darad, the Scourgeblade
Beckoner's Boots	Awakened Herald
Beckoner's Cuirass	Royal Herald
Benjamin's Orb	Crackling Wit
Beseecher's Breastplate	Beseech the Ancients
Bewilderment Boots	Discombobulate
Bewilderment Bracers	Discombobulate
Big Bad Beetle Bag	Cadaver Beetle
Big Boulder	Boulder Behemoth
Big Red Button	Plan C
Billy Boots	Baa'tle Master
Bird Feeders	Mystic Naturalist
Black Crucible Wraps	Hand of the Black Crucible
Blackest Veil	Bride of the Damned
Blackwolf Stave of Starcaller	Starcaller Ancient
Blade Flourish Boots	Blade Flourish
Blade of Destiny	Destined to Lead
Blade of Lazarus	Myrym, Empress of the Crypt
Blade of Many Names	Heroic Inspiration
Blade of Sekki	Oni Assassin
Blade of the Eternal Feast	Brutecrown Gorger
Blade of the Sensei	Silent Blade Sensei
Blade of the Woodstalker	Wild Aura
Bladecrafter's Banisher	Expert Bladecrafter
Blademaster's Gloves	Ashwood Blademaster
Blasting Boots	Crackling Blast
Blazing Gloves	Blazemaw
Bleached Brooch	Ivory Pawn
Blight Pod	Blightvines
Blight Resin	Blightseed Fiddler
Blight Shovel	Blightseed Cultivator
Blightbark Gauntlets	Blightbark Thrall
Blighted Bangle	Blighted Seedbearer
Blighted Breastplate	Blightbark Vampire
Blightwater Paddle	Blightwater Ferryman
Blitz Boots	Blitz Boyz
Bloated Cap	Bloatcap
Blood Bauble	Furious Taskmaster
Blood Fueled Gloves	Feralfuel Infusion Device
Blood Soaked Slippers	Royal Bloodline
Blood Soaked Tiara	Royal Bloodline
Blood-Soaked Wraps	Death Chant
Bloodlust Invokers	Bloodlust
Bloodpit Axe	Bloodpit Reaver
Bloodsoaked Knuckles	Bloodsoaked Brawler
Bloodstained Crown	Prince Zakkaz
Bloodsucker Helm	Giant Mosquito
Bloodworm Boots	Leeching Burrower
Bloody Knuckles	Zanya Bloodfist
Bloody Mitts	First Blood
Bloomfall Basket	Bloombringer
Blossom of Friendship	Rose Kitten
Blue Fanged Ring	Azure Fang Hierarch
Bluebell Boots	Bluebell Dryad
Body Tank	Surge Mechanism
Bog Walkers	Highlands Magus
Bog Walkers Robes	Bog Walker
Bokrug's Veil	Splinter of Bokrug
Bold Stompers	Assault Bot
Bolt Flingers	Sword Trainer
Bomb	Mechanized Aerialist
Bone Grips	Bone Goliath
Bone Studded Bludgeon	Brutal Bonecracker
Bone Walkers	Sepulchra Bonewalker
Boned Gloves	Ankylosaurus
Book of Ossein	Mistress of Bones
Bookmark Blade	Tome of Uruunaz
Boom Shoes	Boomsmith
Boots of Autumn	Bellow of Briggadon
Boots of Bloody Tribute	Fang of the Mountain God
Boots of Ceremonious Flame	Pyre Ceremony
Boots of Equine Flight	Spearcliff Pegasus
Boots of Oblivion	Shoggoth
Boots of Puncturing	Ruby Lance
Boots of Renewal	Iddi
Boots of the Dawn	Ascetic Aspirant
Boots of the Hopeheart Martyr	Hopeheart Unicorn
Boots of the Martyr	Bucktooth Roshi
Boots of the Plague Walker	Sorrow
Boots of the Prodigen	Immolith
